Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
16-03-2016,120.59,120.76,117.34,117.42,17334000,120.59,222.9567034,118.81,NA,NA,126.7128644,2016,3,2,1
17-03-2016,120.13,121.18,120.03,121.16,9914300,120.13,-38.1457085,118.9,NA,NA,116.07139369999999,2016,3,3,1
18-03-2016,119.8,120.34,119.51,119.59,16965900,119.8,-27.4697585,119.01,NA,NA,115.2876407,2016,3,4,1
21-03-2016,118.96,119.33,118.73,119.0,7240600,118.96,-70.11719079999999,119.19,NA,NA,108.3671246,2016,3,0,1
22-03-2016,119.31,120.16,118.96,119.73,6786800,119.31,29.4215263,119.29,NA,NA,103.75254860000001,2016,3,1,1
23-03-2016,116.61,117.12,116.16,116.74,15993700,116.61,-226.3009809,119.24,NA,NA,116.10280959999999,2016,3,2,1
24-03-2016,116.33,116.94,116.3,116.77,6280900,116.33,-24.011558,119.16,NA,NA,115.9643239,2016,3,3,1
28-03-2016,116.6,116.91,116.27,116.73,3879100,116.6,23.2095452,119.14,NA,NA,115.17370840000001,2016,3,0,1
29-03-2016,118.76,118.81,116.8,117.36,14472400,118.76,185.24903,119.14,NA,NA,119.0541413,2016,3,1,1
30-03-2016,117.1,118.2,116.91,117.88,10769100,117.1,-139.7780088,119.11,NA,NA,122.13022609999999,2016,3,2,1
31-03-2016,117.64,118.39,117.6,118.16,9348200,117.64,46.1145109,119.06,NA,NA,121.259585,2016,3,3,1
01-04-2016,116.93,116.98,115.55,116.08,10405400,116.93,-60.3535437,118.87,NA,NA,114.4177647,2016,4,4,2
04-04-2016,116.15,116.73,116.07,116.67,7643700,116.15,-66.706472,118.65,NA,NA,114.9928688,2016,4,0,2
05-04-2016,117.66,117.93,117.15,117.76,8865900,117.66,130.004487,118.47,NA,NA,118.8139945,2016,4,1,2
06-04-2016,116.94,117.39,116.26,116.7,7549400,116.94,-61.193370599999994,118.29,NA,NA,119.07519479999999,2016,4,2,2
07-04-2016,118.61,118.85,115.0,118.65,11900500,118.61,142.8081182,118.24,NA,NA,122.898791,2016,4,3,2
08-04-2016,118.43,118.77,117.98,118.07,9078900,118.43,-15.1758118,118.09,NA,NA,116.6878384,2016,4,4,2
11-04-2016,120.03,120.3,119.42,119.47,9846000,120.03,135.1007743,118.12,116.94,NA,114.73299290000001,2016,4,0,2
12-04-2016,120.05,120.35,119.55,120.23,9689500,120.05,1.6666060999999999,118.23,117.2,NA,110.45044530000001,2016,4,1,2
13-04-2016,118.77,119.43,118.56,119.37,8841500,118.77,-106.6227719,118.27,117.42,NA,113.4787577,2016,4,2,2
14-04-2016,117.11,118.19,116.95,118.09,13165800,117.11,-139.76560410000002,118.1,117.6,NA,105.3423184,2016,4,3,2
15-04-2016,117.92,118.12,117.19,117.33,7838100,117.92,69.1655328,117.99,117.77,NA,106.77644,2016,4,4,2
18-04-2016,117.74,118.56,117.63,118.53,5809800,117.74,-15.2646123,117.88,117.91,NA,106.6985962,2016,4,0,2
